#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) log(j_min) log of the minimum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(8) log(j_max) log of the maximum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(9) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	log(j_min)	log(j_max)	Angle
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -2.5 -2.08333333333 95.0320573915
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -2.08333333333 -1.66666666667 51.0142205205
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -1.66666666667 -1.25 22.5386669503
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -1.25 -0.833333333333 8.95036960221
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -0.833333333333 -0.416666666667 3.97794226539
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -0.416666666667 0.0 2.1974307832
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 0.0 0.416666666667 1.74999063313
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 0.416666666667 0.833333333333 1.54117683446
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 0.833333333333 1.25 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 1.25 1.66666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -2.5 -2.08333333333 59.5466101826
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -2.08333333333 -1.66666666667 51.8563033936
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -1.66666666667 -1.25 25.0983867577
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -1.25 -0.833333333333 10.3842618237
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -0.833333333333 -0.416666666667 4.6528807481
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -0.416666666667 0.0 2.60984245429
