#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Angle
11.0 11.175 -1.2 -1.05 -0.6 -0.5 18.0516945016
11.0 11.175 -1.05 -0.9 -2.5 -2.4 13.9615160635
11.0 11.175 -1.05 -0.9 -2.4 -2.3 13.0272909249
11.0 11.175 -1.05 -0.9 -2.3 -2.2 14.8064007023
11.0 11.175 -1.05 -0.9 -2.2 -2.1 15.0971964037
11.0 11.175 -1.05 -0.9 -2.1 -2.0 15.1839493656
11.0 11.175 -1.05 -0.9 -2.0 -1.9 13.8330331278
11.0 11.175 -1.05 -0.9 -1.9 -1.8 16.0828678072
11.0 11.175 -1.05 -0.9 -1.8 -1.7 15.9798139034
11.0 11.175 -1.05 -0.9 -1.7 -1.6 16.6092861256
11.0 11.175 -1.05 -0.9 -1.6 -1.5 19.4527082816
11.0 11.175 -1.05 -0.9 -1.5 -1.4 18.4727392878
11.0 11.175 -1.05 -0.9 -1.4 -1.3 19.8860466037
11.0 11.175 -1.05 -0.9 -1.3 -1.2 19.9670735077
11.0 11.175 -1.05 -0.9 -1.2 -1.1 18.2568435307
11.0 11.175 -1.05 -0.9 -1.1 -1.0 17.4550233979
11.0 11.175 -1.05 -0.9 -1.0 -0.9 19.3003893437
11.0 11.175 -1.05 -0.9 -0.9 -0.8 19.1949283365
11.0 11.175 -1.05 -0.9 -0.8 -0.7 19.5206174546
11.0 11.175 -1.05 -0.9 -0.7 -0.6 17.427627234
11.0 11.175 -1.05 -0.9 -0.6 -0.5 18.2550449084
11.0 11.175 -0.9 -0.75 -2.5 -2.4 16.2070021837
