#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Dir
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Dir
11.0 11.175 -1.2 -1.05 -2.1 -2.0 82.0598527959
11.0 11.175 -1.2 -1.05 -2.0 -1.9 83.2779081125
11.0 11.175 -1.2 -1.05 -1.9 -1.8 77.6924576601
11.0 11.175 -1.2 -1.05 -1.8 -1.7 73.4517648136
11.0 11.175 -1.2 -1.05 -1.7 -1.6 65.5147166615
11.0 11.175 -1.2 -1.05 -1.6 -1.5 66.1794322591
11.0 11.175 -1.2 -1.05 -1.5 -1.4 61.7484109334
11.0 11.175 -1.2 -1.05 -1.4 -1.3 60.3488737101
11.0 11.175 -1.2 -1.05 -1.3 -1.2 66.1206681055
11.0 11.175 -1.2 -1.05 -1.2 -1.1 72.1998135232
11.0 11.175 -1.2 -1.05 -1.1 -1.0 73.1322287064
11.0 11.175 -1.2 -1.05 -1.0 -0.9 79.8597651879
11.0 11.175 -1.2 -1.05 -0.9 -0.8 84.1405963535
11.0 11.175 -1.2 -1.05 -0.8 -0.7 91.2472765592
11.0 11.175 -1.2 -1.05 -0.7 -0.6 100.238715065
11.0 11.175 -1.2 -1.05 -0.6 -0.5 106.388706288
11.0 11.175 -1.05 -0.9 -2.5 -2.4 114.139533979
11.0 11.175 -1.05 -0.9 -2.4 -2.3 114.700320202
11.0 11.175 -1.05 -0.9 -2.3 -2.2 99.7504037534
11.0 11.175 -1.05 -0.9 -2.2 -2.1 102.399506999
11.0 11.175 -1.05 -0.9 -2.1 -2.0 96.9512067991
11.0 11.175 -1.05 -0.9 -2.0 -1.9 100.689330978
11.0 11.175 -1.05 -0.9 -1.9 -1.8 78.4483783065
11.0 11.175 -1.05 -0.9 -1.8 -1.7 75.5131775423
11.0 11.175 -1.05 -0.9 -1.7 -1.6 62.4785203741
11.0 11.175 -1.05 -0.9 -1.6 -1.5 67.6301891007
11.0 11.175 -1.05 -0.9 -1.5 -1.4 65.372064757
11.0 11.175 -1.05 -0.9 -1.4 -1.3 58.6275790423
11.0 11.175 -1.05 -0.9 -1.3 -1.2 59.0222874674
11.0 11.175 -1.05 -0.9 -1.2 -1.1 60.1042440295
11.0 11.175 -1.05 -0.9 -1.1 -1.0 68.3661136781
11.0 11.175 -1.05 -0.9 -1.0 -0.9 78.8373009527
11.0 11.175 -1.05 -0.9 -0.9 -0.8 84.2207654528
11.0 11.175 -1.05 -0.9 -0.8 -0.7 89.2043836007
11.0 11.175 -1.05 -0.9 -0.7 -0.6 95.8445324308
11.0 11.175 -1.05 -0.9 -0.6 -0.5 116.437255096
11.0 11.175 -0.9 -0.75 -2.5 -2.4 114.359045984
11.0 11.175 -0.9 -0.75 -2.4 -2.3 128.880551492
11.0 11.175 -0.9 -0.75 -2.3 -2.2 89.9605986369
11.0 11.175 -0.9 -0.75 -2.2 -2.1 115.617068236
11.0 11.175 -0.9 -0.75 -2.1 -2.0 88.6079976822
11.0 11.175 -0.9 -0.75 -2.0 -1.9 89.6496467274
11.0 11.175 -0.9 -0.75 -1.9 -1.8 84.5466422439
11.0 11.175 -0.9 -0.75 -1.8 -1.7 77.3763827327
11.0 11.175 -0.9 -0.75 -1.7 -1.6 74.1056416806
11.0 11.175 -0.9 -0.75 -1.6 -1.5 74.0538424266
11.0 11.175 -0.9 -0.75 -1.5 -1.4 73.7022704581
11.0 11.175 -0.9 -0.75 -1.4 -1.3 69.5816698135
11.0 11.175 -0.9 -0.75 -1.3 -1.2 54.9427358011
11.0 11.175 -0.9 -0.75 -1.2 -1.1 58.3591235712
11.0 11.175 -0.9 -0.75 -1.1 -1.0 57.9360630231
11.0 11.175 -0.9 -0.75 -1.0 -0.9 74.0115487327
11.0 11.175 -0.9 -0.75 -0.9 -0.8 80.0722215228
11.0 11.175 -0.9 -0.75 -0.8 -0.7 88.9140949589
11.0 11.175 -0.9 -0.75 -0.7 -0.6 103.206133624
11.0 11.175 -0.9 -0.75 -0.6 -0.5 108.656460483
11.0 11.175 -0.75 -0.6 -2.5 -2.4 116.015462623
11.0 11.175 -0.75 -0.6 -2.4 -2.3 162.26654916
11.0 11.175 -0.75 -0.6 -2.3 -2.2 88.5959588856
11.0 11.175 -0.75 -0.6 -2.2 -2.1 106.676758399
11.0 11.175 -0.75 -0.6 -2.1 -2.0 83.1853844651
11.0 11.175 -0.75 -0.6 -2.0 -1.9 106.943790531
11.0 11.175 -0.75 -0.6 -1.9 -1.8 112.665945816
11.0 11.175 -0.75 -0.6 -1.8 -1.7 90.6108281818
11.0 11.175 -0.75 -0.6 -1.7 -1.6 62.7325600949
11.0 11.175 -0.75 -0.6 -1.6 -1.5 81.1431956396
11.0 11.175 -0.75 -0.6 -1.5 -1.4 73.7255172233
11.0 11.175 -0.75 -0.6 -1.4 -1.3 66.0195383358
11.0 11.175 -0.75 -0.6 -1.3 -1.2 38.4284367177
11.0 11.175 -0.75 -0.6 -1.2 -1.1 73.8328757534
11.0 11.175 -0.75 -0.6 -1.1 -1.0 72.5442899558
11.0 11.175 -0.75 -0.6 -1.0 -0.9 84.9504575477
11.0 11.175 -0.75 -0.6 -0.9 -0.8 74.3598457676
11.0 11.175 -0.75 -0.6 -0.8 -0.7 106.452062638
11.0 11.175 -0.75 -0.6 -0.7 -0.6 125.079114271
11.0 11.175 -0.75 -0.6 -0.6 -0.5 143.837452031
11.0 11.175 -0.6 -0.45 -2.5 -2.4 115.186840897
11.0 11.175 -0.6 -0.45 -2.4 -2.3 127.542650406
11.0 11.175 -0.6 -0.45 -2.3 -2.2 77.9595537713
11.0 11.175 -0.6 -0.45 -2.2 -2.1 109.268534005
11.0 11.175 -0.6 -0.45 -2.1 -2.0 72.7036437432
11.0 11.175 -0.6 -0.45 -2.0 -1.9 103.047508981
11.0 11.175 -0.6 -0.45 -1.9 -1.8 85.4645275625
11.0 11.175 -0.6 -0.45 -1.8 -1.7 73.8577392115
11.0 11.175 -0.6 -0.45 -1.7 -1.6 75.4602006433
11.0 11.175 -0.6 -0.45 -1.6 -1.5 75.8909164622
11.0 11.175 -0.6 -0.45 -1.5 -1.4 81.7526276048
11.0 11.175 -0.6 -0.45 -1.4 -1.3 71.9921897792
11.0 11.175 -0.6 -0.45 -1.3 -1.2 59.7138621297
11.0 11.175 -0.6 -0.45 -1.2 -1.1 46.418926862
11.0 11.175 -0.6 -0.45 -1.1 -1.0 71.872435704
11.0 11.175 -0.6 -0.45 -1.0 -0.9 77.5444796125
11.0 11.175 -0.6 -0.45 -0.9 -0.8 115.643755807
11.0 11.175 -0.6 -0.45 -0.8 -0.7 120.048623999
11.0 11.175 -0.6 -0.45 -0.7 -0.6 132.207904099
11.0 11.175 -0.6 -0.45 -0.6 -0.5 148.412786688
11.0 11.175 -0.45 -0.3 -2.5 -2.4 104.023292528
11.0 11.175 -0.45 -0.3 -2.4 -2.3 83.4221087977
11.0 11.175 -0.45 -0.3 -2.3 -2.2 116.94342385
11.0 11.175 -0.45 -0.3 -2.2 -2.1 127.750343623
11.0 11.175 -0.45 -0.3 -2.1 -2.0 88.9532766504
11.0 11.175 -0.45 -0.3 -2.0 -1.9 98.0259160094
11.0 11.175 -0.45 -0.3 -1.9 -1.8 79.2062970671
11.0 11.175 -0.45 -0.3 -1.8 -1.7 84.955993602
11.0 11.175 -0.45 -0.3 -1.7 -1.6 56.8041209471
11.0 11.175 -0.45 -0.3 -1.6 -1.5 80.0960401819
11.0 11.175 -0.45 -0.3 -1.5 -1.4 90.5781831529
11.0 11.175 -0.45 -0.3 -1.4 -1.3 83.390638141
11.0 11.175 -0.45 -0.3 -1.3 -1.2 82.2117145406
11.0 11.175 -0.45 -0.3 -1.2 -1.1 65.120958996
11.0 11.175 -0.45 -0.3 -1.1 -1.0 66.67665764
11.0 11.175 -0.45 -0.3 -1.0 -0.9 62.4548391109
